Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
6600;TODIMO SE ESP;TODIMO MATERIAIS PARA CONSTRUCAO SA;15.375.991/0001-64;299,993;322,851;403,570;369,634;417,956;337,480
6601;PEROXIDOS;PEROXIDOS DO BRASIL LTDA;51.784.262/0001-25;11.049,505;9.678,866;10.648,588;10.265,696;9.655,073;9.853,108
6602;MABEL;CIPA-INDUSTRIAL DE PRODUTOS ALIMENTARES LTDA;01.851.716/0001-65;722,881;604,654;694,048;686,847;0,000;0,000
6700;LAHUMAN;LAHUMAN INDUSTRIA E COMERCIO DE PLASTICOS LIMITADA;61.863.130/0001-42;822,458;752,435;812,116;768,193;865,270;796,307
6764;AMCOR SUAPE;AMCOR DO NORDESTE - INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;12.350.811/0001-00;1.956,198;1.960,919;1.947,463;2.065,577;2.207,636;2.021,654
6779;EATON MOGI;EATON LTDA;54.625.819/0001-73;2.928,113;2.889,716;3.283,888;2.881,824;3.041,947;2.626,524
6780;PATO BRANCO;PATO BRANCO ALIMENTOS LTDA;02.570.953/0001-10;150,568;154,945;181,680;183,267;178,985;158,537
6854;BW;WAELZHOLZ BRASMETAL LAMINACAO LTDA;12.763.658/0001-34;3.093,288;2.952,676;3.208,053;2.752,415;2.634,483;2.399,064
6940;STAMPLINE;STAMPLINE METAIS ESTAMPADOS LTDA;73.070.294/0001-00;69,925;69,313;77,026;65,571;77,558;70,589
6998;UNIDASUL;UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A;07.718.633/0001-89;4.214,024;3.768,682;4.329,471;3.474,679;3.278,973;3.028,006
7016;AVIVAR;AVIVAR ALIMENTOS S/A;42.816.108/0001-05;3.995,263;3.431,959;3.918,947;3.725,354;3.784,078;3.544,848
7019;CPFL BIOPEDRA CL;CPFL BIO PEDRA LTDA.;11.631.680/0001-68;222,751;422,341;456,525;170,132;3,146;21,982
7094;SHOP TIJUCA;CONDOMINIO DO SHOPPING CENTER TIJUCA;01.870.834/0001-10;1.787,571;1.704,896;1.917,973;1.637,730;1.567,001;1.449,439
7095;SHOP GRANJA VI;CONDOMINIO DO SHOPPING CENTER GRANJA VIANNA;12.546.508/0001-79;837,725;749,677;821,740;725,258;692,549;616,812
7104;TACCHINI;ASSOCIACAO DR BARTHOLOMEU TACCHINI;87.547.444/0001-20;486,884;419,228;465,002;370,009;380,887;375,086
7156;UNIVERSUM;UNIVERSUM DO BRASIL INDUSTRIA MOVELEIRA LTDA;87.215.281/0001-88;74,868;98,242;100,500;80,666;96,854;98,858
7197;ELIZABETHPOR;ELIZABETH PORCELANATO LTDA.;02.357.659/0001-25;1.978,136;1.902,032;3.018,161;3.306,604;3.109,286;1.970,958
7198;ELIZABETHSUL;CERAMICA ELIZABETH SUL LTDA;08.944.802/0001-61;2.672,900;3.489,976;5.353,236;5.197,646;4.192,868;3.880,491
7202;BELGO CONT NE;BELGO BEKAERT ARAMES LTDA;61.074.506/0001-30;4.106,815;3.970,134;4.490,421;3.981,314;4.188,336;3.820,724
7234;BSB S;BSB PRODUTORA DE EQUIPAMENTOS DE PROTECAO INDIVIDUAL S.A.;10.472.968/0001-74;166,180;177,718;220,633;173,982;192,324;197,986
7236;BOMPRECO NE;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;13.004.510/0001-89;5.496,751;4.868,334;5.316,125;4.906,405;4.990,995;4.488,236
7237;INCOFIOS;INCOFIOS INDUSTRIA E COMERCIO DE FIOS LTDA;04.432.327/0001-93;4.257,054;3.884,718;4.397,551;4.330,364;4.227,785;4.148,462
7296;WALMART BRASIL;WMB SUPERMERCADOS DO BRASIL LTDA.;00.063.960/0001-09;1.384,400;1.279,636;1.420,765;1.263,336;1.210,803;1.064,996
7297;BOMPRECO BA;BOMPRECO BAHIA SUPERMERCADOS LTDA;97.422.620/0001-50;3.918,848;3.555,231;3.881,684;3.670,951;3.575,290;3.247,264
7298;WMS SUPER;WMS SUPERMERCADOS DO BRASIL LTDA.;93.209.765/0001-17;8.424,133;7.122,052;7.901,109;6.821,960;6.509,535;5.926,658
7300;BOMPRECO NE N;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;13.004.510/0001-89;304,500;271,459;292,240;304,050;333,568;314,758
7314;DELGA DIADEMA;DELGA INDUSTRIA E COMERCIO S/A;61.532.198/0001-49;387,103;377,861;458,878;393,103;439,265;408,688
7322;HAVAN SE;HAVAN S.A;79.379.491/0001-83;2.199,326;2.116,758;2.469,274;2.058,790;1.869,221;1.575,881
7338;WEG LINHARES;WEG LINHARES EQUIPAMENTOS ELETRICOS S/A;10.885.321/0001-74;2.540,219;2.711,800;3.152,594;2.689,170;3.159,621;3.043,262
7397;ITAU NE;ITAU UNIBANCO S.A.;60.701.190/0001-04;11,169;9,432;9,183;0,000;0,000;0,000
7401;TROMBINI PE;TROMBINI PAPEL E EMBALAGENS S. A.;77.961.431/0001-49;2.131,647;0,000;0,000;0,000;0,000;0,000
7477;C CE SUPER MAMBO;SUPERMERCADOS MAMBO LTDA.;71.676.316/0001-46;1.075,207;995,115;1.199,968;1.044,845;1.067,577;959,548
7497;FAMASTILM;PRAT-K INDUSTRIA E COMERCIO DE MOVEIS E UTILIDADES LTDA;90.260.985/0001-87;107,135;102,981;130,570;106,232;122,367;116,645
7501;ELANTAS;ELANTAS ISOLANTES ELETRICOS DO BRASIL LTDA.;07.682.369/0001-70;126,310;105,835;129,837;127,161;180,529;140,607
7502;MOOCA SHOPPING;BAY HILL SP ADMINISTRACAO LTDA;13.258.605/0001-29;1.185,254;1.094,924;1.203,451;1.083,717;1.101,721;1.021,098
7526;DIA BRASIL;DIA BRASIL SOCIEDADE LIMITADA;03.476.811/0001-51;1.417,131;1.293,603;1.420,173;1.274,160;1.223,727;1.098,003
7528;ATCO;ATCO PLASTICOS LTDA;00.385.650/0001-00;385,815;329,297;395,228;353,677;360,472;352,031
7529;HPORTUGUES;REAL HOSPITAL PORTUGUES DE BENEFICENCIA EM PERNAMBUCO;10.892.164/0001-24;2.871,882;2.590,645;2.891,744;2.744,234;2.845,274;2.648,138
7538;BRASKEM TMP;BRASKEM S.A;42.150.391/0001-70;424,725;324,525;443,326;381,701;447,219;374,608
7542;XERIUM;ANDRITZ FABRICS AND ROLLS INDUSTRIA E COMERCIO S.A.;58.309.998/0001-90;1.022,597;906,372;1.038,530;958,460;960,346;942,334
7597;SABESP EI;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;1.081,457;995,274;1.098,510;986,860;1.118,888;1.059,006
7601;SHOP PLAZA SUL;CONDOMINIO SHOPPING CENTER PLAZA SUL;00.787.330/0001-79;929,637;853,186;937,071;814,933;814,396;736,139
7645;HDS MECPAR;HDS MECPAR INDUSTRIA E COMERCIO LTDA;04.774.509/0001-42;138,483;126,761;139,466;116,247;145,559;143,192
7646;CATALISE;CATALISE INDUSTRIA E COMERCIO DE METAIS LTDA  (EM RECUPERACAO JUDICIAL);45.357.407/0001-09;527,749;485,731;569,210;527,080;554,667;515,323
7650;AVIVAR EI;AVIVAR ALIMENTOS S/A;42.816.108/0001-05;249,592;303,309;350,292;280,669;226,384;217,029
7657;AIR LIQUIDE EI;AIR LIQUIDE BRASIL LTDA;00.331.788/0001-19;226,735;205,725;242,673;207,244;214,838;197,928
7697;BELENUS;BELENUS LTDA;05.151.518/0001-40;105,618;107,853;121,034;101,422;111,049;113,549
7797;KAPPESBERG CL;GRUPO K1 S.A.;00.912.882/0001-61;1.644,470;1.934,611;2.166,273;1.676,770;1.592,980;1.725,483
7878;USIMINAS BH AP;USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;60.894.730/0001-05;132.151,870;119.857,630;131.379,435;123.575,778;117.651,744;117.926,239
7884;INPA INDUSTRIA;SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS S.A.;23.524.952/0007-03;3.145,893;2.987,982;3.233,208;3.056,662;3.326,922;3.335,918
7917;C CE KAWAKAMI;SUPERMERCADOS KAWAKAMI LTDA;46.136.925/0001-65;751,923;678,577;768,784;691,047;667,651;608,756
7918;SUPER FRANGOLA;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;03.879.760/0001-09;2.365,902;2.200,755;2.431,742;2.363,217;2.569,046;2.427,396
8038;BPBUNGE ITT CL;ITUIUTABA BIOENERGIA LTDA.;08.164.344/0001-48;520,884;507,259;772,911;367,238;47,668;143,735
8164;TENDA;TENDA ATACADO SA;01.157.555/0001-04;6.782,343;6.270,835;6.942,944;6.212,508;6.056,108;5.579,937
8180;HEINEKEN ITU NE;HNK BR INDUSTRIA DE BEBIDAS LTDA.;50.221.019/0001-36;949,687;887,275;925,156;1.053,317;1.012,314;924,503
8198;HOSP CANCER;FUNDACAO PIO XII;49.150.352/0001-12;741,865;714,244;824,004;714,510;682,900;620,023
8217;HEINEKEN RJ MATRIZ MA N;HNK BR BEBIDAS LTDA.;02.864.417/0001-28;870,649;666,069;742,162;719,339;747,933;884,307
8298;DMA EPA EI2;DMA DISTRIBUIDORA S/A;01.928.075/0001-08;13.592,380;12.800,658;14.048,911;12.863,959;12.404,516;11.697,260
8323;BTP;BRASIL TERMINAL PORTUARIO S.A.;04.887.625/0001-78;3.319,922;3.691,195;3.276,367;3.312,915;3.726,972;3.645,628
8326;BEBIDAS FRUKI;BEBIDAS FRUKI S/A;87.315.099/0001-07;1.264,099;1.107,998;1.225,698;1.024,055;994,743;968,860
8328;ISRINGHAUSEN;ISRINGHAUSEN INDUSTRIAL LTDA;61.036.141/0001-59;37,657;32,046;37,773;27,177;30,604;27,374
8330;PETROCOQUE;PETROCOQUE S A INDUSTRIA E COMERCIO;43.218.296/0001-24;23,089;604,213;913,427;1.365,162;1.842,919;41,412
8377;VSB JECEABA;VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.;08.689.024/0002-92;56.019,110;41.249,116;54.866,796;52.426,979;38.282,761;44.404,309
8378;CPKB;CONDOMINIO PARKSHOPPINGBARIGUI;05.805.071/0001-85;1.342,070;1.205,223;1.417,964;1.240,924;1.211,825;1.114,777
8518;ENERVALE CL;CENTRAL BIOENERGETICA ENERVALE S/A;10.511.512/0001-76;18,899;15,007;18,249;16,083;17,294;17,469
8519;RAYMUNDO FONTE;INDUSTRIAS REUNIDAS RAYMUNDO DA FONTE SA;11.507.415/0001-72;2.466,627;2.090,223;2.500,266;2.293,165;2.502,348;2.299,867
8537;COOP COPERATIV;COOP - COOPERATIVA DE CONSUMO;57.508.426/0001-78;3.007,617;2.818,885;3.113,944;2.645,463;2.567,857;2.340,580
8557;ASU SALVADOR;MESSER GASES LTDA.;60.619.202/0001-48;4.415,855;4.327,079;4.706,221;4.495,478;4.602,678;4.484,770
8598;HEINEKEN ITU GO CO;HNK BR INDUSTRIA DE BEBIDAS LTDA.;50.221.019/0001-36;1.508,281;1.416,121;1.511,467;1.415,908;1.317,048;1.344,579
8643;ZANCHETTA;ZANCHETTA ALIMENTOS LTDA;69.258.911/0004-62;4.469,862;3.991,233;4.987,160;3.891,790;4.309,282;4.071,325
8657;MIRACEMA;MIRACEMA NUODEX INDUSTRIA QUIMICA LTDA;46.040.242/0001-00;329,194;266,708;347,658;266,841;294,133;276,837
8682;ECTX;EUCATEX INDUSTRIA E COMERCIO LTDA;14.675.270/0001-07;25.628,287;27.007,161;30.336,077;28.908,018;29.105,881;28.983,634
8743;AGV;AGV LOGISTICA S.A;02.905.424/0001-20;946,653;868,504;984,248;869,277;817,851;740,686
8748;AAM;AAM DO BRASIL LTDA.;03.368.638/0001-78;823,807;1.052,876;1.349,105;1.104,337;1.324,000;996,860
8823;CIA CACIQUE;COMPANHIA CACIQUE DE CAFE SOLUVEL;78.588.415/0001-15;4.107,586;4.075,507;4.423,408;4.274,829;4.523,039;4.313,425
8827;WALMART BR S;WMB SUPERMERCADOS DO BRASIL LTDA.;00.063.960/0001-09;348,268;346,694;394,099;325,405;313,275;268,489
8839;METALSIDER CL;METALSIDER LTDA;17.635.277/0001-93;13,932;21,234;40,630;24,782;2.286,768;0,520
8863;SYRAL HALOTEK;TEREOS AMIDO E ADOCANTES BRASIL S.A.;65.882.680/0001-60;3.882,003;3.606,029;3.594,199;3.294,183;3.741,479;3.439,761
8983;WESTROCK 3B CL;WESTROCK, CELULOSE, PAPEL E EMBALAGENS LTDA;45.989.050/0001-81;8.855,360;8.543,354;10.834,775;11.006,706;7.530,186;6.615,293
9005;PARKSHOPPING;CONSORCIO SHOPPING SAO CAETANO;14.351.504/0001-60;1.452,656;1.376,794;1.484,608;1.321,638;1.287,098;1.177,839
9025;C CE MRS;MRS LOGISTICA S/A;01.417.222/0001-77;462,429;436,075;480,973;446,325;458,186;447,431
9046;SDB ALIMENTOS;SDB COMERCIO DE ALIMENTOS LTDA;09.477.652/0001-96;5.101,228;4.418,725;4.883,651;4.587,507;4.509,087;3.914,951
9105;SHOP VILA LOBO;SUB-CONDOMINIO DO SHOPPING VILLA-LOBOS;09.226.749/0001-26;1.264,790;1.186,768;1.334,082;1.173,841;1.164,252;1.076,013
9130;VIPRADO CL;VIPRADO INDUSTRIA E COMERCIO DE VIDROS LTDA;94.352.903/0001-85;1.232,100;1.490,149;1.787,267;1.544,158;1.778,962;1.704,537
9165;SHOPPVILAVELHA;CONSORCIO BOULEVARD SHOPPING VILA VELHA;15.091.769/0001-30;1.036,057;968,053;1.063,784;914,572;826,332;800,763
9203;HOGANAS CL;HOGANAS BRASIL LTDA;52.555.711/0001-26;2.103,988;2.524,733;2.665,892;2.702,531;2.597,673;2.559,431
9370;SANTA CASA;SANTA CASA DE MISERICORDIA DA BAHIA;15.153.745/0001-68;1.173,074;1.061,178;1.198,641;1.122,786;1.145,071;1.036,463
9491;ZAFFARI;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;93.015.006/0001-13;3.856,043;3.387,871;3.873,585;3.228,952;3.188,950;2.952,557
9615;DEMB SALVADOR;JACOBS DOUWE EGBERTS BR COMERCIALIZACAO DE CAFES LTDA.;02.333.707/0036-75;423,122;320,152;449,969;376,481;446,172;245,210
9617;MARCEGAGLIA;MARCEGAGLIA DO BRASIL LTDA;02.173.216/0001-84;1.877,552;2.026,453;2.281,335;2.047,828;2.245,862;2.228,874
9655;DALIA 1;COOPERATIVA DALIA ALIMENTOS LTDA;89.305.239/0001-83;527,305;461,885;518,657;431,871;450,312;461,484
9670;SGVIDROS-CBOM;VERALLIA BRASIL S.A.;60.853.942/0007-30;2.809,210;2.530,224;2.789,312;2.741,093;2.892,481;2.802,606
9732;BRASTEX;BRASTEX S/A;09.258.807/0001-01;8.372,904;7.887,374;8.599,487;7.950,001;8.182,659;7.895,884
9850;CANOINHAS;CIA CANOINHAS DE PAPEL;76.827.344/0001-30;5.308,083;4.559,352;5.979,241;5.686,435;5.828,571;5.898,473
9910;KLABIN TELEMACO BORBA;KLABIN S.A.;89.637.490/0001-45;50.954,694;42.756,950;42.222,848;47.436,564;50.292,402;49.485,060
9938;PANDITAPEG EI;PANDURATA ALIMENTOS LTDA;70.940.994/0001-01;486,535;423,058;479,843;447,488;518,102;489,224
9992;BOM VIZINHO;BOM VIZINHO DISTRIBUIDORA DE ALIMENTOS LTDA.;04.163.766/0001-48;1.874,108;1.720,313;1.914,898;1.928,744;2.105,816;2.012,332
10035;TECFIL;SOFAPE FABRICANTE DE FILTROS S.A.;04.155.026/0001-60;453,397;397,132;492,489;425,018;501,927;491,585
10130;HOSP ALB EINST;SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN;60.765.823/0001-30;840,342;794,275;888,202;773,787;788,189;748,577
10131;NORTH SHOPPING;ASSOCIACAO DOS LOJISTAS DO NORTH SHOPPING;41.456.690/0001-75;767,983;654,715;748,909;700,812;0,000;0,000
10211;ST JUDE;ST JUDE MEDICAL BRASIL LTDA;00.986.846/0009-08;313,623;332,833;368,931;321,840;298,229;271,756
10271;INGREDION CABO;INGREDION BRASIL INGREDIENTES INDUSTRIAIS LTDA;01.730.520/0001-12;4.868,894;4.075,951;3.271,576;4.373,002;4.521,854;4.360,052
10275;ITAMBEALIMEN;ITAMBE ALIMENTOS LTDA.;16.849.231/0001-04;5.394,108;4.886,276;5.671,982;5.481,837;5.629,349;4.978,505
10314;PROVIDENCIA;COMPANHIA PROVIDENCIA INDUSTRIA E COMERCIO;76.500.180/0001-32;7.677,671;6.763,229;7.442,732;6.764,215;4.709,373;6.218,960
10353;RIOMAR;SUBCONDOMINIO RIOMAR RECIFE;16.888.022/0001-70;4.411,720;4.007,819;4.533,381;4.461,971;4.626,810;4.243,802
10514;NTC;INDUSTRIA MECANICA NTC LTDA;92.225.259/0001-59;82,011;83,754;104,927;99,035;108,725;83,379
10532;ENGEPACK;ENGEPACK EMBALAGENS SAO PAULO S.A.;59.791.962/0001-59;7.420,035;6.699,540;6.637,502;6.756,913;7.445,144;6.884,530
10592;ODERICH;CONSERVAS ODERICH SA;97.191.902/0001-94;362,383;313,225;439,599;393,672;443,612;466,192
10616;TUBOS IPIRANGA;TUBOS IPIRANGA INDUSTRIA E COMERCIO LTDA;01.477.885/0001-87;240,048;210,907;236,620;207,526;244,305;231,960
10633;SEARA MATRIZ;SEARA ALIMENTOS LTDA;02.914.460/0112-76;3.562,631;3.340,982;3.328,184;2.961,000;3.193,397;3.338,588
10634;PERINATAL;CASA DE SAUDE LARANJEIRAS LTDA;33.419.482/0001-78;625,841;605,759;600,998;414,261;387,606;343,916
10672;CROMOFIX;CROMOFIX CROMO DURO LTDA;88.112.313/0002-63;107,891;160,490;177,598;153,162;156,048;139,163
10753;C CL MRS;MRS LOGISTICA S/A;01.417.222/0001-77;1.690,397;1.518,677;1.749,685;1.575,129;1.583,634;1.562,113
10797;R DESIGN BAR;CONDOMINIO DO EDIFICIO RIO DESIGN BARRA;04.504.741/0001-60;1.061,917;976,621;1.053,331;940,939;930,398;848,482
10812;ANTONELLI SUPER;ANTONELLI SUPERMERCADO LTDA;07.732.866/0001-36;276,644;423,513;484,246;430,604;410,119;367,569
10912;CONFINA;CONFINA ALIMENTOS INDUSTRIAL LTDA;74.657.784/0001-61;622,176;561,606;681,476;650,301;728,499;663,163
10913;DAL MOBILE;DAL MOBILE LTDA;89.042.618/0001-28;130,841;174,299;184,078;0,000;0,000;0,000
10972;MONDELEZ_VSA;MONDELEZ BRASIL NORTE NORDESTE LTDA;10.144.076/0001-44;4.484,603;4.101,376;4.388,954;4.137,605;4.346,026;3.687,536
10973;NG METALURGICA;NG METALURGICA S.A.;01.939.979/0001-20;477,080;456,891;488,758;387,549;476,463;435,069
10992;BPBUNGE ITB CL;ITUMBIARA BIOENERGIA S.A.;08.517.600/0001-33;476,639;464,633;370,508;233,527;31,235;39,207
11093;AGC BRASIL MATRIZ;AGC VIDROS DO BRASIL LTDA.;13.198.370/0001-27;8.590,243;7.821,399;9.271,006;7.949,239;8.504,534;8.334,361
11432;UMICORE BRASIL;UMICORE BRASIL LTDA.;96.206.313/0001-70;43,696;37,801;43,853;36,964;38,694;36,802
11472;MEC TRONIC;MAJE DO NORDESTE INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTDA;04.900.482/0001-97;150,022;168,439;193,511;134,966;129,267;125,916
11512;C CE GIGA BR;GIGA BR DISTRIBUIDOR E ATACADISTA LTDA;10.194.833/0001-94;2.055,291;1.910,562;2.101,126;1.864,625;1.873,591;1.732,558
11513;VINICOLA GARIBALDI;COOPERATIVA VINICOLA GARIBALDI LTDA;90.049.156/0001-50;248,206;403,876;372,344;228,719;199,146;190,722
11732;SJC BIOENERGIA CL;SJC BIOENERGIA LTDA;10.249.419/0001-35;357,505;293,478;949,674;548,791;75,025;111,650
11735;APC;ASSOCIACAO PARANAENSE DE CULTURA - APC;76.659.820/0001-51;418,223;431,552;600,222;482,966;506,179;454,478
11736;DUPONT;CORTEVA AGRISCIENCE DO BRASIL LTDA.;61.064.929/0001-79;1.501,763;1.429,902;1.175,012;848,914;491,705;342,530
11954;SITREL;SITREL - SIDERURGICA TRES LAGOAS LTDA;07.084.117/0001-40;1.025,793;986,457;997,240;869,387;961,904;927,095
11994;CEG CL;CENTRAL ENERGETICA GUAIRA LTDA;09.270.654/0001-00;246,269;249,601;317,240;335,431;26,504;64,877
12153;SEBO VARZEA;SEBO VARZEA GRANDE INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LTDA;11.392.754/0001-50;428,864;356,655;382,471;366,330;423,785;401,966
12254;MANGELS 3C MG SP;MANGELS INDUSTRIAL S.A.;61.065.298/0015-08;3.784,027;3.995,161;4.565,807;3.988,635;4.435,193;4.054,677
12578;USHIN;MINEBEA ACCESSSOLUTIONS SOUTH AMERICA LTDA.;17.465.122/0001-56;1.050,877;1.064,251;1.081,639;979,044;1.106,862;1.054,460
12582;JUNDU ANALANDIA;MINERACAO JUNDU LTDA;60.628.468/0022-81;1.924,925;1.778,050;1.993,300;1.821,210;1.978,758;1.905,402
12596;UNYLASER;UNYLASER - INDUSTRIA METALURGICA LTDA;05.897.063/0001-06;181,107;258,748;290,296;252,278;277,625;273,459
12615;MUSA CL;MINERACAO USIMINAS S.A.;12.056.613/0001-20;16.300,742;16.911,323;18.567,448;19.056,253;19.578,479;18.814,827
12654;MARISA;MARISA LOJAS S.A.;61.189.288/0001-89;131,414;123,964;137,714;109,182;109,382;83,461
12818;METALURGICA MOR CL;METALURGICA MOR SA;95.422.218/0001-40;1.660,135;1.413,585;1.517,792;1.266,444;1.436,239;1.503,839
12937;IRANI CL SE;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;2.045,913;1.841,831;2.043,847;796,712;1.931,533;1.873,432
13176;TCP;TCP - TERMINAL DE CONTEINERES DE PARANAGUA S/A;12.919.786/0001-24;7.177,363;6.668,887;7.279,853;6.725,116;6.483,012;6.282,694
13235;WMS SUPER NE;WMS SUPERMERCADOS DO BRASIL LTDA.;93.209.765/0001-17;2.069,929;1.899,497;2.115,171;2.129,241;1.943,356;1.669,687
13256;CPFL BIOALVORADA CL;SPE BIO ALVORADA LTDA.;12.419.243/0001-48;267,417;231,650;481,455;90,951;21,534;26,597
13257;CPFL BIOCOOPCANA CL;SPE BIO COOPCANA LTDA.;12.235.807/0001-92;279,494;257,935;313,018;220,721;78,980;140,910
13275;HOTEIS SEARA;HOTEIS SEARA LTDA;10.353.107/0001-77;235,185;197,745;208,057;210,680;237,717;219,058
13696;GREFORTEC;GREFORTEC FORNOS INDUSTRIAIS E TRATAMENTO TERMICO LTDA;94.089.455/0001-79;162,125;190,555;0,000;0,000;0,000;0,000
13697;CAMPESTRE;VINICOLA CAMPESTRE LTDA;98.521.909/0001-90;245,514;339,522;270,248;218,366;250,084;235,732
13814;RVB MALHAS;INDUSTRIA E COMERCIO DE MALHAS RVB LTDA;83.203.992/0001-81;884,539;878,527;1.031,185;826,428;870,476;829,932
13815;AURORA XAXIM;COOPERATIVA CENTRAL AURORA ALIMENTOS;83.310.441/0066-62;3.881,216;3.460,422;4.067,873;3.589,009;3.832,009;3.640,380
13816;C CE FRISOKAR;FK GRUPO S/A;55.088.157/0001-02;158,845;132,356;136,943;121,824;127,872;116,676
14125;BRF 390 SANTO ANTAO CL;BRF S.A.;01.838.723/0001-27;4.870,394;4.203,174;4.020,312;4.465,143;4.548,510;4.493,096
14127;BRF 387 RIO VERDE CL;BRF S.A.;01.838.723/0001-27;12.695,247;11.173,538;12.216,961;10.675,108;11.494,605;11.637,109
14128;BRF 376 FRIG UBERLANDIA CL;BRF S.A.;01.838.723/0001-27;7.870,192;6.974,238;7.801,145;6.382,417;6.881,327;6.565,003
14129;BRF 321 MARAU CL;BRF S.A.;01.838.723/0001-27;5.253,394;4.539,225;5.282,856;4.072,392;4.828,541;4.305,172
14319;INCENOR CL;INCENOR INDUSTRIA CERAMICA DO NORDESTE LTDA.;04.496.698/0001-39;3.404,842;3.399,908;3.877,284;3.407,482;3.975,994;3.864,409
14379;ACTECH;ACTECH - ALUMINA CHEMICAL TECHNOLOGY LTDA.;17.720.994/0001-13;934,606;824,735;993,747;1.380,431;3.087,902;2.910,774
14401;CRAVIL RIODISUL SUPER;COOPERATIVA REGIONAL AGROPECUARIA VALE DO ITAJAI;85.789.782/0001-42;119,932;106,741;111,403;91,666;87,957;79,531
14501;MARISA RJ;MARISA LOJAS S.A.;61.189.288/0001-89;232,518;223,648;240,585;158,365;100,155;61,050
14639;BENEPET REC;BENEPET RECICLAGEM LTDA;04.082.966/0001-76;127,136;118,178;137,821;116,511;141,327;134,199
15079;EXPK;EXPK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;17.104.971/0001-84;532,263;469,617;603,602;466,280;569,013;492,966
15099;PAPI TEXTIL;PAPI TEXTIL LTDA;18.309.666/0001-91;524,542;516,394;562,064;505,871;589,774;592,812
15359;BALL BCSA 2;BALL BEVERAGE CAN SOUTH AMERICA S.A.;29.506.474/0001-91;1.137,469;891,621;906,112;75,360;65,778;57,817
15379;TELEFONICA SE CL;TELEFONICA BRASIL S.A.;02.558.157/0001-62;24.051,357;22.634,656;25.174,091;23.209,123;23.344,754;22.147,724
15460;BENTELER CAMPINAS;BENTELER COMPONENTES AUTOMOTIVOS LTDA;00.853.157/0001-60;1.759,009;1.716,272;1.889,555;1.754,269;2.017,751;1.850,603
15479;VIBRA CL;VIBRA  AGROINDUSTRIAL  S/A;93.586.303/0001-19;5.387,266;4.396,393;5.588,396;4.794,634;5.308,280;5.091,997
15599;TELHANORTE;SAINT-GOBAIN DISTRIBUICAO BRASIL LTDA;03.840.986/0001-04;1.406,763;1.414,259;1.576,686;1.115,781;954,644;770,092
15641;DAIRY ARARAS;DAIRY PARTNERS AMERICAS BRASIL LTDA.;05.300.331/0002-41;2.805,521;2.699,381;3.023,571;2.834,354;2.789,100;2.700,100
15642;ANGLO MINAS RIO;ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;02.359.572/0004-30;69.546,093;59.333,710;74.125,345;71.326,219;75.350,898;64.984,856
15741;UNIPAR CARBOCLORO;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78;98.531,568;95.878,911;105.192,223;103.129,059;106.702,710;105.027,960
15761;CVRD RECEPTORA 1;VALE S.A.;33.592.510/0001-54;23.781,821;21.531,202;23.415,496;20.243,159;26.301,909;30.001,261
15862;MARISA SC;MARISA LOJAS S.A.;61.189.288/0001-89;153,872;131,430;138,894;113,692;107,922;80,810
15863;MARISA SP;MARISA LOJAS S.A.;61.189.288/0001-89;525,037;483,744;532,121;403,578;387,263;339,493
16021;FERROPORT;FERROPORT LOGISTICA COMERCIAL EXPORTADORA S.A;08.807.683/0001-03;2.636,444;2.749,280;3.371,418;3.460,887;3.440,087;3.072,868
16044;FACS;FACS SERVICOS EDUCACIONAIS LTDA;13.526.884/0001-64;105,533;162,749;251,638;208,362;204,834;127,111
16121;MELHORAMENTOS-MOGI;SOFTYS BRASIL LTDA.;44.145.845/0001-40;2.772,992;2.732,402;2.950,577;2.711,517;2.809,780;2.966,470
16122;SMSA CL;SAO MARTINHO S/A;51.466.860/0001-56;0,000;0,000;1.129,899;672,367;0,000;0,000
16190;KLABIN CORREIA PINTO;KLABIN S.A.;89.637.490/0001-45;11.942,506;10.814,072;11.980,190;11.984,784;8.815,903;10.248,197
16203;IRCEIND;IRCE INDUSTRIA DE CONDUTORES ELETRICOS LTDA;07.384.404/0001-75;2.280,006;2.264,032;2.505,858;2.322,043;2.356,231;2.106,813
16367;JBS AVES S;JBS AVES LTDA.;08.199.996/0001-18;3.017,767;2.771,695;3.061,799;2.599,868;2.792,962;2.452,206
